,SMALL LoBETA,ME1 BETA2,ME1 BETA3,ME1 BETA4,SMALL HiBETA,ME2 BETA1,ME2 BETA2,ME2 BETA3,ME2 BETA4,ME2 BETA5,ME3 BETA1,ME3 BETA2,ME3 BETA3,ME3 BETA4,ME3 BETA5,ME4 BETA1,ME4 BETA2,ME4 BETA3,ME4 BETA4,ME4 BETA5,BIG LoBETA,ME5 BETA2,ME5 BETA3,ME5 BETA4,BIG HiBETA
196710,18.2321,19.5475,19.6484,21.6293,21.3228,66.2289,66.8873,69.2738,66.5436,69.1359,130.8951,147.8036,134.9304,132.5093,129.459,327.2317,313.4622,312.5107,288.1054,289.2117,1900.1895,1560.4321,2569.8989,1129.4103,978.3972
196711,17.8359,19.9848,19.0768,21.378,20.9349,64.5686,65.4595,67.8663,63.0122,67.4164,127.9226,143.843,130.745,125.5806,126.6653,308.5567,296.7702,302.8231,270.6453,274.7827,1866.473,1498.004,2533.691,1101.9986,945.2516
196712,17.7744,19.4953,18.8653,21.3604,20.9804,67.0726,65.1161,68.3444,62.8123,67.6908,128.6238,141.7573,129.5921,127.2377,129.0164,317.7764,295.4753,302.514,272.4732,278.6802,1871.9535,1512.6237,2521.8014,1105.2434,928.2052
196801,19.3369,20.982,20.7525,24.0408,24.444,74.9312,70.831,76.2639,69.8289,80.7122,133.7174,153.0608,140.7206,138.4667,146.8798,338.4355,310.0533,335.24,291.0458,322.0667,1924.2714,1564.6038,2636.0563,1176.5627,940.6709
196802,20.255,21.7097,21.6656,24.69,25.296,75.6151,70.1721,76.1905,69.5206,80.4762,133.916,150.5854,135.2889,134.1394,143.7586,327.7358,309.6485,323.0119,277.2056,304.4968,1904.9834,1494.8207,2485.4401,1071.9606,824.3205
196803,19.3538,20.4579,20.1028,22.9222,23.0143,71.3393,67.1566,72.9008,63.8429,71.9441,132.3609,143.2633,128.6179,128.5811,133.0735,318.4573,295.4878,309.0099,263.5416,277.969,1856.1823,1446.3678,2405.7979,1028.1743,814.3095
196804,19.2202,20.1368,20.1067,22.6451,22.6024,70.3441,64.7589,71.8901,62.7311,72.4924,129.4654,143.3134,129.6862,129.0951,132.9672,313.988,294.8172,307.4028,265.3905,282.1472,1845.6005,1454.9098,2455.1955,1045.9147,854.8519
196805,21.4034,23.0333,22.8956,26.6472,27.5315,80.5307,70.8507,81.4839,71.291,86.4841,140.0088,157.4676,145.5128,146.6142,156.4649,335.7991,324.7878,339.1567,298.8,316.6315,1918.3129,1581.004,2746.97,1168.7707,948.0294
196806,23.9914,25.3655,25.3749,29.9314,31.3928,83.7605,75.322,87.3417,79.9254,95.142,143.6059,165.718,152.9376,156.1414,169.8062,335.074,336.8059,356.0169,323.9577,330.007,1913.9799,1590.427,2796.1178,1176.7153,974.7559
196807,24.8197,26.9282,26.0335,28.9416,24.6993,85.142,81.9005,79.5291,86.2236,79.6115,157.0527,159.6362,152.9901,155.9708,148.3872,354.7902,360.5961,339.75,340.8892,313.8896,2087.7827,2434.8252,1535.0035,1307.1533,867.3704
196808,24.846,26.5581,25.5033,27.6468,24.4085,83.2673,79.0005,77.9536,81.5646,76.8703,153.6795,154.743,149.4778,149.8785,140.045,350.0705,352.5162,323.1837,323.6639,296.859,2128.5806,2331.0089,1471.9121,1264.8111,876.6808
196809,25.1083,27.6846,26.2072,28.7628,25.8577,82.6176,81.9803,79.8267,84.9114,79.7003,157.0614,158.412,154.0984,156.9668,145.8428,347.7714,360.9106,332.1631,335.2209,299.0409,2137.0195,2354.7989,1480.4015,1323.2334,873.035
196810,26.0411,29.1968,27.9824,30.4689,27.9934,86.9473,86.4288,85.8418,90.3714,85.3699,161.4957,166.2791,166.2481,169.7697,154.9606,360.2125,385.112,350.9935,364.2191,320.0698,2202.0367,2430.6572,1553.671,1374.6339,918.7962
196811,26.8836,29.5442,28.7856,31.0989,27.7256,89.4644,86.4984,88.5197,91.8348,83.7698,166.4155,171.4028,171.7668,167.2777,155.5536,360.0542,389.9388,358.2821,369.7534,319.6822,2260.8274,2381.075,1583.7974,1395.2266,939.0383
